CHEMBL220
=========

Top 30 discriminative features
(shifted index, original index, P(x=1|y=0), P(x=1|y=1), |difference|)

feature_shifted=73, feature_original=73, p_x1_y0=27676.5933, p_x1_y1=22871.8852, abs_diff=4804.7081
feature_shifted=66, feature_original=66, p_x1_y0=2831.9426, p_x1_y1=2500.1914, abs_diff=331.7512
feature_shifted=72, feature_original=72, p_x1_y0=1008.0191, p_x1_y1=1057.6938, abs_diff=49.6746
feature_shifted=71, feature_original=71, p_x1_y0=757.7608, p_x1_y1=713.3110, abs_diff=44.4498
feature_shifted=153, feature_original=153, p_x1_y0=86.8252, p_x1_y1=59.6699, abs_diff=27.1553
feature_shifted=152, feature_original=152, p_x1_y0=416.1787, p_x1_y1=392.0014, abs_diff=24.1773
feature_shifted=63, feature_original=63, p_x1_y0=300.2775, p_x1_y1=284.1914, abs_diff=16.0861
feature_shifted=65, feature_original=65, p_x1_y0=190.2488, p_x1_y1=205.6651, abs_diff=15.4163
feature_shifted=92, feature_original=92, p_x1_y0=7.8086, p_x1_y1=20.0383, abs_diff=12.2297
feature_shifted=78, feature_original=78, p_x1_y0=154.8134, p_x1_y1=144.5359, abs_diff=10.2775
feature_shifted=48, feature_original=48, p_x1_y0=14.1136, p_x1_y1=7.8796, abs_diff=6.2341
feature_shifted=82, feature_original=82, p_x1_y0=24.6316, p_x1_y1=22.3923, abs_diff=2.2392
feature_shifted=147, feature_original=147, p_x1_y0=8.0853, p_x1_y1=5.9103, abs_diff=2.1750
feature_shifted=127, feature_original=127, p_x1_y0=7.9323, p_x1_y1=5.7911, abs_diff=2.1412
feature_shifted=135, feature_original=135, p_x1_y0=0.3517, p_x1_y1=1.8538, abs_diff=1.5022
feature_shifted=40, feature_original=40, p_x1_y0=12.0543, p_x1_y1=10.8563, abs_diff=1.1980
feature_shifted=62, feature_original=62, p_x1_y0=71.2344, p_x1_y1=70.0670, abs_diff=1.1675
feature_shifted=139, feature_original=139, p_x1_y0=0.6071, p_x1_y1=-0.5071, abs_diff=1.1142
feature_shifted=0, feature_original=0, p_x1_y0=37.7416, p_x1_y1=36.6507, abs_diff=1.0909
feature_shifted=145, feature_original=145, p_x1_y0=3.3071, p_x1_y1=2.3593, abs_diff=0.9478
feature_shifted=24, feature_original=24, p_x1_y0=11.3930, p_x1_y1=10.5118, abs_diff=0.8812
feature_shifted=56, feature_original=56, p_x1_y0=4.8773, p_x1_y1=4.0455, abs_diff=0.8318
feature_shifted=47, feature_original=47, p_x1_y0=3.5037, p_x1_y1=2.7009, abs_diff=0.8028
feature_shifted=67, feature_original=67, p_x1_y0=30.3923, p_x1_y1=29.7033, abs_diff=0.6890
feature_shifted=154, feature_original=154, p_x1_y0=3.6275, p_x1_y1=4.2747, abs_diff=0.6472
feature_shifted=32, feature_original=32, p_x1_y0=7.7253, p_x1_y1=7.1045, abs_diff=0.6208
feature_shifted=8, feature_original=8, p_x1_y0=7.7253, p_x1_y1=7.1045, abs_diff=0.6208
feature_shifted=1, feature_original=1, p_x1_y0=35.6172, p_x1_y1=35.0335, abs_diff=0.5837
feature_shifted=52, feature_original=52, p_x1_y0=7.7867, p_x1_y1=7.2272, abs_diff=0.5596
feature_shifted=156, feature_original=156, p_x1_y0=5.6794, p_x1_y1=6.1770, abs_diff=0.4976
